"DATE_ID","DATE","WEEK_DAY","TEN_DAYS","FORTNIGHT","MONTH_NUMBER","MONTH","BIMESTER","QUARTER","SEMESTER","YEAR"
19700704,04/07/70,"Sábado",1,1,7,"Julho",4,2,4,1970
19700705,05/07/70,"Domingo",1,1,7,"Julho",4,2,4,1970
19700706,06/07/70,"Segunda-Feira",1,1,7,"Julho",4,2,4,1970
19700707,07/07/70,"Terça-Feira",1,1,7,"Julho",4,2,4,1970
19700708,08/07/70,"Quarta-Feira",1,1,7,"Julho",4,2,4,1970
19700709,09/07/70,"Quinta-Feira",1,1,7,"Julho",4,2,4,1970
19700710,10/07/70,"Sexta-Feira",1,1,7,"Julho",4,2,4,1970
19700711,11/07/70,"Sábado",2,1,7,"Julho",4,2,4,1970
19700712,12/07/70,"Domingo",2,1,7,"Julho",4,2,4,1970
19700713,13/07/70,"Segunda-Feira",2,1,7,"Julho",4,2,4,1970
19700714,14/07/70,"Terça-Feira",2,1,7,"Julho",4,2,4,1970
19700715,15/07/70,"Quarta-Feira",2,1,7,"Julho",4,2,4,1970
19700716,16/07/70,"Quinta-Feira",2,2,7,"Julho",4,2,4,1970
19700717,17/07/70,"Sexta-Feira",2,2,7,"Julho",4,2,4,1970
19700718,18/07/70,"Sábado",2,2,7,"Julho",4,2,4,1970
19700719,19/07/70,"Domingo",2,2,7,"Julho",4,2,4,1970
19700720,20/07/70,"Segunda-Feira",2,2,7,"Julho",4,2,4,1970
19700721,21/07/70,"Terça-Feira",3,2,7,"Julho",4,2,4,1970
19700722,22/07/70,"Quarta-Feira",3,2,7,"Julho",4,2,4,1970
19700723,23/07/70,"Quinta-Feira",3,2,7,"Julho",4,2,4,1970
19700724,24/07/70,"Sexta-Feira",3,2,7,"Julho",4,2,4,1970
19700725,25/07/70,"Sábado",3,2,7,"Julho",4,2,4,1970
19700726,26/07/70,"Domingo",3,2,7,"Julho",4,2,4,1970
19700727,27/07/70,"Segunda-Feira",3,2,7,"Julho",4,2,4,1970
19700728,28/07/70,"Terça-Feira",3,2,7,"Julho",4,2,4,1970
19700729,29/07/70,"Quarta-Feira",3,2,7,"Julho",4,2,4,1970
19700730,30/07/70,"Quinta-Feira",3,2,7,"Julho",4,2,4,1970
19700731,31/07/70,"Sexta-Feira",3,2,7,"Julho",4,2,4,1970
19700801,01/08/70,"Sábado",1,1,8,"Agosto",4,2,4,1970
19700802,02/08/70,"Domingo",1,1,8,"Agosto",4,2,4,1970
19700803,03/08/70,"Segunda-Feira",1,1,8,"Agosto",4,2,4,1970
19700804,04/08/70,"Terça-Feira",1,1,8,"Agosto",4,2,4,1970
19700805,05/08/70,"Quarta-Feira",1,1,8,"Agosto",4,2,4,1970
19700806,06/08/70,"Quinta-Feira",1,1,8,"Agosto",4,2,4,1970
19700807,07/08/70,"Sexta-Feira",1,1,8,"Agosto",4,2,4,1970
19700808,08/08/70,"Sábado",1,1,8,"Agosto",4,2,4,1970
19700809,09/08/70,"Domingo",1,1,8,"Agosto",4,2,4,1970
19700810,10/08/70,"Segunda-Feira",1,1,8,"Agosto",4,2,4,1970
19700811,11/08/70,"Terça-Feira",2,1,8,"Agosto",4,2,4,1970
19700812,12/08/70,"Quarta-Feira",2,1,8,"Agosto",4,2,4,1970
19700813,13/08/70,"Quinta-Feira",2,1,8,"Agosto",4,2,4,1970
19700814,14/08/70,"Sexta-Feira",2,1,8,"Agosto",4,2,4,1970
19700815,15/08/70,"Sábado",2,1,8,"Agosto",4,2,4,1970
19700816,16/08/70,"Domingo",2,2,8,"Agosto",4,2,4,1970
19700817,17/08/70,"Segunda-Feira",2,2,8,"Agosto",4,2,4,1970
19700818,18/08/70,"Terça-Feira",2,2,8,"Agosto",4,2,4,1970
19700819,19/08/70,"Quarta-Feira",2,2,8,"Agosto",4,2,4,1970
19700820,20/08/70,"Quinta-Feira",2,2,8,"Agosto",4,2,4,1970
19700821,21/08/70,"Sexta-Feira",3,2,8,"Agosto",4,2,4,1970
19700822,22/08/70,"Sábado",3,2,8,"Agosto",4,2,4,1970
19700823,23/08/70,"Domingo",3,2,8,"Agosto",4,2,4,1970
19700824,24/08/70,"Segunda-Feira",3,2,8,"Agosto",4,2,4,1970
19700825,25/08/70,"Terça-Feira",3,2,8,"Agosto",4,2,4,1970
19700826,26/08/70,"Quarta-Feira",3,2,8,"Agosto",4,2,4,1970
19700827,27/08/70,"Quinta-Feira",3,2,8,"Agosto",4,2,4,1970
19700828,28/08/70,"Sexta-Feira",3,2,8,"Agosto",4,2,4,1970
19700829,29/08/70,"Sábado",3,2,8,"Agosto",4,2,4,1970
19700830,30/08/70,"Domingo",3,2,8,"Agosto",4,2,4,1970
19700831,31/08/70,"Segunda-Feira",3,2,8,"Agosto",4,2,4,1970
19700901,01/09/70,"Terça-Feira",1,1,9,"Setembro",5,3,5,1970
19700902,02/09/70,"Quarta-Feira",1,1,9,"Setembro",5,3,5,1970
19700903,03/09/70,"Quinta-Feira",1,1,9,"Setembro",5,3,5,1970
19700904,04/09/70,"Sexta-Feira",1,1,9,"Setembro",5,3,5,1970
19700905,05/09/70,"Sábado",1,1,9,"Setembro",5,3,5,1970
19700906,06/09/70,"Domingo",1,1,9,"Setembro",5,3,5,1970
19700907,07/09/70,"Segunda-Feira",1,1,9,"Setembro",5,3,5,1970
19700908,08/09/70,"Terça-Feira",1,1,9,"Setembro",5,3,5,1970
19700909,09/09/70,"Quarta-Feira",1,1,9,"Setembro",5,3,5,1970
19700910,10/09/70,"Quinta-Feira",1,1,9,"Setembro",5,3,5,1970
19700911,11/09/70,"Sexta-Feira",2,1,9,"Setembro",5,3,5,1970
19700912,12/09/70,"Sábado",2,1,9,"Setembro",5,3,5,1970
19700913,13/09/70,"Domingo",2,1,9,"Setembro",5,3,5,1970
19700914,14/09/70,"Segunda-Feira",2,1,9,"Setembro",5,3,5,1970
19700915,15/09/70,"Terça-Feira",2,1,9,"Setembro",5,3,5,1970
19700916,16/09/70,"Quarta-Feira",2,2,9,"Setembro",5,3,5,1970
19700917,17/09/70,"Quinta-Feira",2,2,9,"Setembro",5,3,5,1970
19700918,18/09/70,"Sexta-Feira",2,2,9,"Setembro",5,3,5,1970
19700919,19/09/70,"Sábado",2,2,9,"Setembro",5,3,5,1970
19700920,20/09/70,"Domingo",2,2,9,"Setembro",5,3,5,1970
19700921,21/09/70,"Segunda-Feira",3,2,9,"Setembro",5,3,5,1970
